timestamp,dead,injured
2023/11/19 0:10:50,0,110
2023/11/20 19:18:38,0,90
2023/11/23 22:54:53,0,121
2023/11/24 19:13:08,0,65
2023/11/25 13:30:12,1,62
2023/11/27 19:39:55,0,68
2023/11/30 1:28:31,2,136
2023/12/01 22:30:32,2,112
2023/12/03 22:54:52,0,110
2023/12/04 19:30:35,0,87
2023/12/06 20:46:29,0,113
2023/12/08 23:28:18,1,144
2023/12/11 0:30:52,0,82
2023/12/14 9:01:53,1,116
2023/12/15 8:21:18,1,100
2023/12/16 13:33:52,0,101
2023/12/17 11:27:05,1,114
2023/12/18 8:05:45,0,91
2023/12/20 19:25:13,1,100
2023/12/22 20:32:44,0,127
2023/12/25 0:15:27,0,133
2023/12/25 8:14:20,1,100
2023/12/27 20:30:35,3,113
2023/12/29 23:46:30,1,125
2024/01/03 21:32:03,0,26
2024/01/05 13:05:16,2,50
2024/01/07 19:31:03,0,58
2024/01/08 19:11:57,1,67
2024/01/10 8:06:11,0,80
2024/01/12 19:53:58,0,82
2024/01/14 21:12:14,1,92
2024/01/16 8:10:48,0,107
2024/01/17 20:11:47,0,124
2024/01/19 18:55:54,0,101
2024/01/21 23:30:53,1,72
2024/01/22 8:11:21,0,56
2024/01/24 19:11:59,0,96
2024/01/26 18:48:59,1,101
2024/01/28 23:30:39,1,80
2024/01/31 8:07:18,0,96
2024/02/02 8:14:57,0,90
2024/02/03 10:35:55,0,104
2024/02/04 23:12:28,2,95
2024/02/05 8:05:02,0,69
2024/02/07 19:46:17,0,41
2024/02/08 18:47:20,0,84
2024/02/09 19:11:58,0,94
2024/02/12 22:54:28,0,49
2024/02/14 8:08:02,0,82
2024/02/15 19:12:34,0,97
2024/02/16 14:59:00,1,74
2024/02/17 22:46:36,0,112
2024/02/19 19:25:03,0,78
2024/02/21 22:50:25,1,122
2024/02/23 0:46:06,0,78
2024/02/25 22:55:03,1,91
2024/02/26 8:07:54,0,62
2024/02/28 8:11:33,0,121
2024/03/01 20:55:44,0,80
2024/03/03 22:55:47,0,71
2024/03/04 22:10:58,1,69
2024/03/06 8:09:59,0,87
2024/03/09 15:56:55,0,102
2024/03/11 19:24:09,1,71
2024/03/13 19:12:07,0,89
2024/03/15 7:42:19,0,85
2024/03/17 23:30:21,1,84
2024/03/18 20:12:07,0,71
2024/03/19 16:22:58,1,110
2024/03/22 19:38:28,0,107
2024/03/31 23:04:37,0,98
2024/04/03 20:00:29,1,89
2024/04/05 20:58:20,0,91
2024/04/10 8:04:20,0,67
2024/04/10 19:50:54,0,67
2024/04/14 23:06:20,1,85
2024/04/17 19:46:22,0,119
2024/04/21 18:39:25,0,112
2024/04/23 15:36:04,0,91
2024/04/24 8:10:09,1,92
2024/04/27 12:51:02,0,107